STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT04,WT11
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/1/2022,,,0.22,,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/2/2022,,,0.32,,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/4/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/5/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/7/2022,,,0.3,,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/10/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/11/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/20/2022,,,0.5,,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/23/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/24/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/25/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/26/2022,,,0,0,,,,,,,,,
US1WVJF0012,"HARPERS FERRY 7.2 SSW, WV US",39.23094,-77.800787,177.4,1/28/2022,,,0,0,,,,,,,,,
